home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Tunisia,Japan,0,2,45213,"Yanmar Stadium Nagai, Osaka",Group stage,14-06-2002,0–2,"Korea Republic, Japan",2002,Hiroaki Morishima · 48|Hidetoshi Nakata · 75,,"['48&rsquor;|0:1|Hiroaki Morishima', '75&rsquor;|0:2|Hidetoshi Nakata']",,,,,,,,,,,,,,,"['21&rsquor;|0:0|Riadh Bouazizi', '81&rsquor;|0:2|Khaled Badra']",,"['46&rsquor;|0:0|Zoubeir Baya|for Mourad Melki', '61&rsquor;|0:1|Imed Mhedhebi|for José Clayton', '78&rsquor;|0:2|Ali Zitouni|for Raouf Bouzaiene']","['46&rsquor;|0:0|Daisuke Ichikawa|for Junichi Inamoto', '46&rsquor;|0:0|Hiroaki Morishima|for Atsushi Yanagisawa', '84&rsquor;|0:2|Mitsuo Ogasawara|for Hidetoshi Nakata']"
Belgium,Russia,3,2,46640,"Shizuoka Stadium Ecopa, Fukuroi",Group stage,14-06-2002,3–2,"Korea Republic, Japan",2002,Vladimir Beschastnykh · 52|Dmitri Sychev · 88,"['7&rsquor;|1:0|Johan Walem', '78&rsquor;|2:1|Wesley Sonck', '82&rsquor;|3:1|Marc Wilmots']","['52&rsquor;|1:1|Vladimir Beschastnykh', '88&rsquor;|3:2|Dmitri Sychev']",,,,,,,,,,,,,,,['39&rsquor;|1:0|Yves Vanderhaeghe'],"['12&rsquor;|1:0|Andrei Solomatin', '14&rsquor;|1:0|Alexey Smertin', '64&rsquor;|1:1|Dmitri Alenichev', '84&rsquor;|3:1|Dmitri Sennikov']","['70&rsquor;|1:1|Wesley Sonck|for Mbo Mpenza', '78&rsquor;|1:1|Timmy Simons|for Gert Verheyen', '90&rsquor;|3:2|Eric Van Meir|for Glen De Boeck']","['34&rsquor;|1:0|Dmitri Sychev|for Alexey Smertin', '43&rsquor;|1:0|Dmitri Sennikov|for Yuriy Nikiforov', '82&rsquor;|2:1|Aleksandr Kerzhakov|for Valeri Karpin']"
Portugal,Korea Republic,0,1,50239,"Incheon Munhak Stadium, Incheon",Group stage,14-06-2002,0–1,"Korea Republic, Japan",2002,Park Ji-sung · 70,,['70&rsquor;|0:1|Park Ji-sung'],,,,,,,,,,,João Pinto · 27,,Beto · 66,,"['22&rsquor;|0:0|Beto', '83&rsquor;|0:1|Jorge Costa']","['24&rsquor;|0:0|Lee Young-pyo', '57&rsquor;|0:0|Seol Ki-hyeon', '74&rsquor;|0:1|Kim Nam-il', '90+3&rsquor;|0:1|Ahn Jung-hwan']","['69&rsquor;|0:0|Jorge Andrade|for Pauleta', '73&rsquor;|0:1|Abel Xavier|for Rui Jorge', '77&rsquor;|0:1|Nuno Gomes|for Petit']",['90&rsquor;|0:1|Lee Chun-soo|for Ahn Jung-hwan']
Poland,United States,3,1,26482,"Daejeon World Cup Stadium, Daejeon",Group stage,14-06-2002,3–1,"Korea Republic, Japan",2002,Landon Donovan · 83,"['3&rsquor;|1:0|Emmanuel Olisadebe', '5&rsquor;|2:0|Paweł Kryszałowicz', '66&rsquor;|3:0|Marcin Żewłakow']",['83&rsquor;|3:1|Landon Donovan'],,,,,,,,,,,,,,,"['44&rsquor;|2:0|Radosław Majdan', '46&rsquor;|2:0|Marek Koźmiński', '63&rsquor;|2:0|Cezary Kucharski', '86&rsquor;|3:1|Emmanuel Olisadebe']",['72&rsquor;|3:0|Frankie Hejduk'],"['65&rsquor;|2:0|Marcin Żewłakow|for Cezary Kucharski', '86&rsquor;|3:1|Paweł Sibik|for Emmanuel Olisadebe', '89&rsquor;|3:1|Tomasz Wałdoch|for Tomasz Kłos']","['36&rsquor;|2:0|DaMarcus Beasley|for Jeff Agoos', '58&rsquor;|2:0|Joe-Max Moore|for Brian McBride', '68&rsquor;|3:0|Cobi Jones|for Earnie Stewart']"
Costa Rica,Brazil,2,5,38524,"Suwon World Cup Stadium, Suwon",Group stage,13-06-2002,2–5,"Korea Republic, Japan",2002,Ronaldo · 10|Ronaldo · 13|Edmílson · 38|Rivaldo · 62|Júnior · 64,"['39&rsquor;|1:3|Paulo Wanchope', '56&rsquor;|2:3|Rónald Gómez']","['10&rsquor;|0:1|Ronaldo', '13&rsquor;|0:2|Ronaldo', '38&rsquor;|0:3|Edmílson', '62&rsquor;|2:4|Rivaldo', '64&rsquor;|2:5|Júnior']",,,,,,,,,,,,,,,,['90+3&rsquor;|2:5|Cafú'],"['46&rsquor;|1:3|Steven Bryce|for Harold Wallace', '65&rsquor;|2:5|Rolando Fonseca|for Mauricio Solís', '74&rsquor;|2:5|Winston Parks|for Gilberto Martínez']","['57&rsquor;|2:3|José Kléberson|for Edílson', '61&rsquor;|2:3|Ricardinho|for Juninho Paulista', '72&rsquor;|2:5|Kaká|for Rivaldo']"
Türkiye,China PR,3,0,43605,"Seoul World Cup Stadium, Seoul",Group stage,13-06-2002,3–0,"Korea Republic, Japan",2002,,"['6&rsquor;|1:0|Hasan Şaş', '9&rsquor;|2:0|Bülent Korkmaz', '85&rsquor;|3:0|Ümit Davala']",,,,,,,,,,,,,Shao Jiayi · 58,,,"['19&rsquor;|2:0|Emre Aşık', '30&rsquor;|2:0|Emre Belözoğlu', '81&rsquor;|2:0|Hasan Şaş']","['45+1&rsquor;|2:0|Yang Pu', '62&rsquor;|2:0|Li Weifeng']","['35&rsquor;|2:0|Ömer Çatkıç|for Rüştü Reçber', '70&rsquor;|2:0|İlhan Mansız|for Yıldıray Baştürk', '84&rsquor;|2:0|Tayfur Havutçu|for Tugay Kerimoğlu']","['46&rsquor;|2:0|Shao Jiayi|for Wu Chengying', '73&rsquor;|2:0|Qu Bo|for Hao Haidong', '73&rsquor;|2:0|Yu Genwei|for Yang Chen']"
Mexico,Italy,1,1,39291,"Ōita Bank Dome, Ōita",Group stage,13-06-2002,1–1,"Korea Republic, Japan",2002,Alessandro Del Piero · 85,['34&rsquor;|1:0|Jared Borgetti'],['85&rsquor;|1:1|Alessandro Del Piero'],,,,,,,,,,,,,,,"['2&rsquor;|0:0|Jesús Arellano', '84&rsquor;|1:0|Óscar Pérez Rojas']","['5&rsquor;|0:0|Fabio Cannavaro', '10&rsquor;|0:0|Christian Panucci', '43&rsquor;|1:0|Francesco Totti', '55&rsquor;|1:0|Gianluca Zambrotta', '57&rsquor;|1:0|Vincenzo Montella']","['76&rsquor;|1:0|Gabriel Caballero|for Johan Rodríguez', '76&rsquor;|1:0|Rafael García Torres|for Ramón Morales', '80&rsquor;|1:0|Francisco Palencia|for Jared Borgetti']","['55&rsquor;|1:0|Vincenzo Montella|for Filippo Inzaghi', '63&rsquor;|1:0|Francesco Coco|for Christian Panucci', '78&rsquor;|1:0|Alessandro Del Piero|for Francesco Totti']"
Ecuador,Croatia,1,0,65862,"Nissan Stadium, Yokohama",Group stage,13-06-2002,1–0,"Korea Republic, Japan",2002,,['48&rsquor;|1:0|Édison Méndez'],,,,,,,,,,,,,,,,['86&rsquor;|1:0|Cléber Chalá'],"['72&rsquor;|1:0|Stjepan Tomas', '90+2&rsquor;|1:0|Josip Šimunić']","['40&rsquor;|0:0|Álex Aguinaga|for Alfonso Obregón', '76&rsquor;|1:0|Iván Kaviedes|for Carlos Tenorio']","['52&rsquor;|1:0|Davor Vugrinec|for Dario Šimić', '59&rsquor;|1:0|Jurica Vranješ|for Niko Kovač', '68&rsquor;|1:0|Mario Stanić|for Daniel Šarić']"
Sweden,Argentina,1,1,45777,"Miyagi Stadium, Rifu",Group stage,12-06-2002,1–1,"Korea Republic, Japan",2002,Hernán Crespo · 88,['59&rsquor;|1:0|Anders Svensson'],['88&rsquor;|1:1|Hernán Crespo'],,,,,,,,,,,,,,,"['65&rsquor;|1:0|Magnus Svensson', '78&rsquor;|1:0|Henrik Larsson']","['55&rsquor;|0:0|José Chamot', '58&rsquor;|0:0|Matías Almeyda', '75&rsquor;|1:0|Kily González']","['46&rsquor;|0:0|Andreas Andersson|for Marcus Allbäck', '68&rsquor;|1:0|Mattias Jonson|for Anders Svensson', '88&rsquor;|1:0|Zlatan Ibrahimović|for Henrik Larsson']","['58&rsquor;|0:0|Hernán Crespo|for Gabriel Batistuta', '63&rsquor;|1:0|Juan Sebastián Verón|for Matías Almeyda', '63&rsquor;|1:0|Kily González|for Juan Pablo Sorín']"
Nigeria,England,0,0,44864,"Yanmar Stadium Nagai, Osaka",Group stage,12-06-2002,0–0,"Korea Republic, Japan",2002,,,,,,,,,,,,,,,,,,,,['86&rsquor;|0:0|Pius Ikedia|for Femi Opabunmi'],"['69&rsquor;|0:0|Teddy Sheringham|for Emile Heskey', '77&rsquor;|0:0|Darius Vassell|for Michael Owen', '85&rsquor;|0:0|Wayne Bridge|for Andy Cole']"
South Africa,Spain,2,3,31024,"Daejeon World Cup Stadium, Daejeon",Group stage,12-06-2002,2–3,"Korea Republic, Japan",2002,Raúl · 4|Gaizka Mendieta · 45+1|Raúl · 56,"['31&rsquor;|1:1|Benni McCarthy', '53&rsquor;|2:2|Lucas Radebe']","['4&rsquor;|0:1|Raúl', '45+1&rsquor;|1:2|Gaizka Mendieta', '56&rsquor;|2:3|Raúl']",,,,,,,,,,,,,,,"['16&rsquor;|0:1|Cyril Nzama', '67&rsquor;|2:3|Bradley Carnell', '69&rsquor;|2:3|Siyabonga Nomvethe', '81&rsquor;|2:3|Aaron Mokoena']",,"['74&rsquor;|2:3|George Koumantarakis|for Siyabonga Nomvethe', '80&rsquor;|2:3|Thabang Molefe|for Lucas Radebe', '83&rsquor;|2:3|Jacob Lekgetho|for Quinton Fortune']","['53&rsquor;|1:2|Sergio|for David Albelda', '77&rsquor;|2:3|Albert Luque|for Fernando Morientes', '82&rsquor;|2:3|Luis Enrique|for Raúl']"
Slovenia,Paraguay,1,3,30176,"Jeju World Cup Stadium, Jeju",Group stage,12-06-2002,1–3,"Korea Republic, Japan",2002,Nelson Cuevas · 65|Jorge Luis Campos · 73|Nelson Cuevas · 84,['45+1&rsquor;|1:0|Milenko Ačimovič'],"['65&rsquor;|1:1|Nelson Cuevas', '73&rsquor;|1:2|Jorge Luis Campos', '84&rsquor;|1:3|Nelson Cuevas']",,,,,,,,,,,Nastja Čeh · 81,,,Carlos Paredes · 22,"['16&rsquor;|0:0|Miran Pavlin', '68&rsquor;|1:1|Amir Karić', '69&rsquor;|1:1|Mladen Rudonja', '79&rsquor;|1:2|Željko Milinovič']",['4&rsquor;|0:0|Carlos Paredes'],"['40&rsquor;|0:0|Mladen Rudonja|for Miran Pavlin', '62&rsquor;|1:0|Nastja Čeh|for Milenko Ačimovič', '77&rsquor;|1:2|Senad Tiganj|for Milan Osterc']","['53&rsquor;|1:0|Jorge Luis Campos|for Guido Alvarenga', '61&rsquor;|1:0|Nelson Cuevas|for José Cardozo', '90&rsquor;|1:3|Juan Carlos Franco|for Nelson Cuevas']"
Denmark,France,2,0,48100,"Incheon Munhak Stadium, Incheon",Group stage,11-06-2002,2–0,"Korea Republic, Japan",2002,,"['22&rsquor;|1:0|Dennis Rommedahl', '67&rsquor;|2:0|Jon Dahl Tomasson']",,,,,,,,,,,,,,,,"['27&rsquor;|1:0|Christian Poulsen', '71&rsquor;|2:0|Niclas Jensen']",['8&rsquor;|0:0|Christophe Dugarry'],"['46&rsquor;|1:0|Jesper Grønkjær|for Martin Jørgensen', '76&rsquor;|2:0|Kasper Bøgelund|for Christian Poulsen', '79&rsquor;|2:0|Brian Steen Nielsen|for Stig Tøfting']","['54&rsquor;|1:0|Djibril Cissé|for Christophe Dugarry', '71&rsquor;|2:0|Johan Micoud|for Patrick Vieira', '83&rsquor;|2:0|Youri Djorkaeff|for Sylvain Wiltord']"
Senegal,Uruguay,3,3,33681,"Suwon World Cup Stadium, Suwon",Group stage,11-06-2002,3–3,"Korea Republic, Japan",2002,Richard Morales · 46|Diego Forlán · 69,"['20&rsquor;|1:0|Khalilou Fadiga', '26&rsquor;|2:0|Papa Bouba Diop', '38&rsquor;|3:0|Papa Bouba Diop']","['46&rsquor;|3:1|Richard Morales', '69&rsquor;|3:2|Diego Forlán']",,,,Álvaro Recoba (P) · 88,,,,,,,,,,,"['2&rsquor;|0:0|Henri Camara', '4&rsquor;|0:0|Omar Daf', '39&rsquor;|3:0|Ferdinand Coly', '69&rsquor;|3:1|Papa Bouba Diop', '82&rsquor;|3:2|El Hadji Diouf', '87&rsquor;|3:2|Khalilou Fadiga', '87&rsquor;|3:2|Habib Beye']","['8&rsquor;|0:0|Marcelo Romero', '19&rsquor;|0:0|Fabián Carini', '35&rsquor;|2:0|Pablo García', '40&rsquor;|3:0|Darío Rodríguez', '82&rsquor;|3:2|Paolo Montero']","['63&rsquor;|3:1|Habib Beye|for Ferdinand Coly', ""67&rsquor;|3:1|Moussa N'Diaye|for Henri Camara"", ""76&rsquor;|3:2|Amdy Faye|for Alassane N'Dour""]","['32&rsquor;|2:0|Mario Regueiro|for Gonzalo Sorondo', '46&rsquor;|3:1|Richard Morales|for Sebastián Abreu', '46&rsquor;|3:1|Diego Forlán|for Marcelo Romero']"
Saudi Arabia,Republic of Ireland,0,3,65320,"Nissan Stadium, Yokohama",Group stage,11-06-2002,0–3,"Korea Republic, Japan",2002,Robbie Keane · 7|Gary Breen · 61|Damien Duff · 87,,"['7&rsquor;|0:1|Robbie Keane', '61&rsquor;|0:2|Gary Breen', '87&rsquor;|0:3|Damien Duff']",,,,,,,,,,,,,,,['61&rsquor;|0:1|Nawaf Al-Temyat'],['70&rsquor;|0:2|Steve Staunton'],"['67&rsquor;|0:2|Mohammad Al-Shalhoub|for Abdulaziz Khathran', '68&rsquor;|0:2|Abdullah Jumaan Al-Dosari|for Abdullah Zubromawi', '79&rsquor;|0:2|Ahmed Dokhi|for Mohammed Al-Jahani']","['46&rsquor;|0:1|Niall Quinn|for Ian Harte', '80&rsquor;|0:2|Jason McAteer|for Gary Kelly', '89&rsquor;|0:3|Lee Carsley|for Mark Kinsella']"
Cameroon,Germany,0,2,47085,"Shizuoka Stadium Ecopa, Fukuroi",Group stage,11-06-2002,0–2,"Korea Republic, Japan",2002,Marco Bode · 50|Miroslav Klose · 79,,"['50&rsquor;|0:1|Marco Bode', '79&rsquor;|0:2|Miroslav Klose']",,,,,,,,,,,,,Patrick Suffo · 77,Carsten Ramelow · 40,"['8&rsquor;|0:0|Marc-Vivien Foé', '42&rsquor;|0:0|Rigobert Song', '44&rsquor;|0:0|Bill Tchato', '56&rsquor;|0:1|Geremi', '58&rsquor;|0:1|Salomon Olembé', '60&rsquor;|0:1|Patrick Suffo', '81&rsquor;|0:2|Lauren']","['9&rsquor;|0:0|Carsten Jancker', '29&rsquor;|0:0|Dietmar Hamann', '31&rsquor;|0:0|Michael Ballack', '37&rsquor;|0:0|Carsten Ramelow', '42&rsquor;|0:0|Oliver Kahn', '72&rsquor;|0:1|Christian Ziege', '74&rsquor;|0:1|Torsten Frings']","['53&rsquor;|0:1|Patrick Suffo|for Bill Tchato', ""64&rsquor;|0:1|Daniel N'Gom Kome|for Salomon Olembé"", ""80&rsquor;|0:2|Joseph-Désiré Job|for Patrick M'Boma""]","['46&rsquor;|0:0|Marco Bode|for Carsten Jancker', '80&rsquor;|0:2|Jens Jeremies|for Bernd Schneider', '84&rsquor;|0:2|Oliver Neuville|for Miroslav Klose']"
Korea Republic,United States,1,1,60778,"Daegu Main Stadium, Daegu",Group stage,10-06-2002,1–1,"Korea Republic, Japan",2002,Clint Mathis · 24,['78&rsquor;|1:1|Ahn Jung-hwan'],['24&rsquor;|0:1|Clint Mathis'],,,,,,,,,,,,,,,['80&rsquor;|1:1|Hong Myung-bo'],"['30&rsquor;|0:1|Frankie Hejduk', '39&rsquor;|0:1|Jeff Agoos']","['38&rsquor;|0:1|Lee Chun-soo|for Park Ji-sung', '56&rsquor;|0:1|Ahn Jung-hwan|for Hwang Sun-hong', '69&rsquor;|0:1|Choi Yong-soo|for Yoo Sang-chul']","['75&rsquor;|0:1|Eddie Lewis|for DaMarcus Beasley', '82&rsquor;|1:1|Josh Wolff|for Clint Mathis']"
Tunisia,Belgium,1,1,39700,"Ōita Bank Dome, Ōita",Group stage,10-06-2002,1–1,"Korea Republic, Japan",2002,Marc Wilmots · 13,['17&rsquor;|1:1|Raouf Bouzaiene'],['13&rsquor;|0:1|Marc Wilmots'],,,,,,,,,,,,,,,"['22&rsquor;|1:1|Hassen Gabsi', '43&rsquor;|1:1|Kaies Ghodhbane', '68&rsquor;|1:1|Hatem Trabelsi', '69&rsquor;|1:1|Mourad Melki']",['40&rsquor;|1:1|Daniel Van Buyten'],"['67&rsquor;|1:1|Adel Sellimi|for Hassen Gabsi', '77&rsquor;|1:1|Ali Zitouni|for Ziad Jaziri', '88&rsquor;|1:1|Zoubeir Baya|for Mourad Melki']","['46&rsquor;|1:1|Wesley Sonck|for Gert Verheyen', '46&rsquor;|1:1|Sven Vermant|for Branko Strupar', '74&rsquor;|1:1|Mbo Mpenza|for Timmy Simons']"
Portugal,Poland,4,0,31000,"Jeonju World Cup Stadium, Jeonju",Group stage,10-06-2002,4–0,"Korea Republic, Japan",2002,,"['14&rsquor;|1:0|Pauleta', '65&rsquor;|2:0|Pauleta', '77&rsquor;|3:0|Pauleta', '88&rsquor;|4:0|Rui Costa']",,,,,,,,,,,,,,,,"['25&rsquor;|1:0|Nuno Frechaut', '27&rsquor;|1:0|Jorge Costa', '31&rsquor;|1:0|Rui Costa']","['21&rsquor;|1:0|Piotr Świerczewski', '39&rsquor;|1:0|Arkadiusz Bąk']","['60&rsquor;|1:0|Rui Costa|for João Pinto', '63&rsquor;|1:0|Beto|for Nuno Frechaut', '69&rsquor;|2:0|Capucho|for Sérgio Conceição']","['17&rsquor;|1:0|Arkadiusz Bąk|for Radosław Kałużny', '56&rsquor;|1:0|Marcin Żewłakow|for Maciej Żurawski', '71&rsquor;|2:0|Tomasz Rząsa|for Michał Żewłakow']"
Mexico,Ecuador,2,1,45610,"Sapporo Dome, Sapporo",Group stage,09-06-2002,2–1,"Korea Republic, Japan",2002,Agustín Delgado · 5,"['28&rsquor;|1:1|Jared Borgetti', '57&rsquor;|2:1|Gerardo Torrado']",['5&rsquor;|0:1|Agustín Delgado'],,,,,,,,,,,,,,,['65&rsquor;|2:1|Gerardo Torrado'],"['15&rsquor;|0:1|Iván Kaviedes', '27&rsquor;|0:1|José Francisco Cevallos', '49&rsquor;|1:1|Raúl Guerrón', '61&rsquor;|2:1|Carlos Tenorio', '87&rsquor;|2:1|Agustín Delgado']","['77&rsquor;|2:1|Luis Hernández|for Jared Borgetti', '87&rsquor;|2:1|Gabriel Caballero|for Johan Rodríguez', '90&rsquor;|2:1|Sigifredo Mercado|for Cuauhtémoc Blanco']","['35&rsquor;|1:1|Marlon Ayoví|for Edwin Tenorio', '53&rsquor;|1:1|Carlos Tenorio|for Iván Kaviedes', '58&rsquor;|2:1|Álex Aguinaga|for Alfonso Obregón']"
Costa Rica,Türkiye,1,1,42299,"Incheon Munhak Stadium, Incheon",Group stage,09-06-2002,1–1,"Korea Republic, Japan",2002,Emre Belözoğlu · 56,['86&rsquor;|1:1|Winston Parks'],['56&rsquor;|0:1|Emre Belözoğlu'],,,,,,,,,,,,,,,"['24&rsquor;|0:0|Gilberto Martínez', '43&rsquor;|0:0|Carlos Castro Mora']","['20&rsquor;|0:0|Emre Aşık', '45&rsquor;|0:0|Tugay Kerimoğlu', '89&rsquor;|1:1|Emre Belözoğlu']","['66&rsquor;|0:1|Hernán Medford|for Walter Centeno', '77&rsquor;|0:1|Steven Bryce|for Harold Wallace', '77&rsquor;|0:1|Winston Parks|for Wilmer López']","['75&rsquor;|0:1|İlhan Mansız|for Hakan Şükür', '79&rsquor;|0:1|Nihat Kahveci|for Yıldıray Baştürk', '88&rsquor;|1:1|Arif Erdem|for Tugay Kerimoğlu']"
Japan,Russia,1,0,66108,"Nissan Stadium, Yokohama",Group stage,09-06-2002,1–0,"Korea Republic, Japan",2002,,['51&rsquor;|1:0|Junichi Inamoto'],,,,,,,,,,,,,,,,"['15&rsquor;|0:0|Tsuneyasu Miyamoto', '42&rsquor;|0:0|Kōji Nakata', '90+1&rsquor;|1:0|Masashi Nakayama']","['13&rsquor;|0:0|Ruslan Pimenov', '38&rsquor;|0:0|Andrei Solomatin', '60&rsquor;|1:0|Dmitri Khokhlov']","['72&rsquor;|1:0|Masashi Nakayama|for Takayuki Suzuki', '75&rsquor;|1:0|Toshihiro Hattori|for Shinji Ono', '85&rsquor;|1:0|Takashi Fukunishi|for Junichi Inamoto']","['46&rsquor;|0:0|Dmitri Sychev|for Ruslan Pimenov', '52&rsquor;|1:0|Dmitri Khokhlov|for Marat Izmailov', '57&rsquor;|1:0|Vladimir Beschastnykh|for Alexey Smertin']"
South Africa,Slovenia,1,0,47226,"Daegu Main Stadium, Daegu",Group stage,08-06-2002,1–0,"Korea Republic, Japan",2002,,['4&rsquor;|1:0|Siyabonga Nomvethe'],,,,,,,,,,,,,,,,"['12&rsquor;|1:0|Lucas Radebe', '59&rsquor;|1:0|Teboho Mokoena']","['35&rsquor;|1:0|Muamer Vugdalić', '52&rsquor;|1:0|Željko Milinovič', '62&rsquor;|1:0|Aleš Čeh', '75&rsquor;|1:0|Miran Pavlin']","['71&rsquor;|1:0|Delron Buckley|for Siyabonga Nomvethe', '80&rsquor;|1:0|George Koumantarakis|for Benni McCarthy', '84&rsquor;|1:0|Jabu Mahlangu|for Quinton Fortune']","['41&rsquor;|1:0|Milan Osterc|for Sebastjan Cimirotič', '60&rsquor;|1:0|Nastja Čeh|for Milenko Ačimovič', '60&rsquor;|1:0|Spasoje Bulajič|for Aleksander Knavs']"
Italy,Croatia,1,2,36472,"Kashima Soccer Stadium, Kashima",Group stage,08-06-2002,1–2,"Korea Republic, Japan",2002,Ivica Olić · 73|Milan Rapaić · 76,['55&rsquor;|1:0|Christian Vieri'],"['73&rsquor;|1:1|Ivica Olić', '76&rsquor;|1:2|Milan Rapaić']",,,,,,,,,,,,,,,['51&rsquor;|0:0|Christian Vieri'],['39&rsquor;|0:0|Robert Kovač'],"['23&rsquor;|0:0|Marco Materazzi|for Alessandro Nesta', '79&rsquor;|1:2|Filippo Inzaghi|for Cristiano Doni']","['57&rsquor;|1:0|Ivica Olić|for Davor Vugrinec', '62&rsquor;|1:0|Jurica Vranješ|for Zvonimir Soldo', '79&rsquor;|1:2|Dario Šimić|for Milan Rapaić']"
Brazil,China PR,4,0,36750,"Jeju World Cup Stadium, Jeju",Group stage,08-06-2002,4–0,"Korea Republic, Japan",2002,,"['15&rsquor;|1:0|Roberto Carlos', '32&rsquor;|2:0|Rivaldo', '55&rsquor;|4:0|Ronaldo']",,,,Ronaldinho (P) · 45,,,,,,,,,,,,"['25&rsquor;|1:0|Ronaldinho', '69&rsquor;|4:0|Roque Júnior']",,"['46&rsquor;|3:0|Denílson|for Ronaldinho', '70&rsquor;|4:0|Ricardinho|for Juninho Paulista', '72&rsquor;|4:0|Edílson|for Ronaldo']","['62&rsquor;|4:0|Yang Pu|for Ma Mingyu', '66&rsquor;|4:0|Shao Jiayi|for Qi Hong', '75&rsquor;|4:0|Qu Bo|for Hao Haidong']"
Sweden,Nigeria,2,1,36194,"NOEVIR Stadium Kobe, Kobe",Group stage,07-06-2002,2–1,"Korea Republic, Japan",2002,Julius Aghahowa · 27,['35&rsquor;|1:1|Henrik Larsson'],['27&rsquor;|0:1|Julius Aghahowa'],,,Henrik Larsson (P) · 63,,,,,,,,,,,,"['31&rsquor;|0:1|Johan Mjällby', '69&rsquor;|2:1|Niclas Alexandersson']",['80&rsquor;|2:1|Taribo West'],"['64&rsquor;|2:1|Andreas Andersson|for Marcus Allbäck', '83&rsquor;|2:1|Magnus Svensson|for Anders Svensson']","['65&rsquor;|2:1|Nwankwo Kanu|for Celestine Babayaro', '70&rsquor;|2:1|Pius Ikedia|for Bartholomew Ogbeche']"
Spain,Paraguay,3,1,24000,"Jeonju World Cup Stadium, Jeonju",Group stage,07-06-2002,3–1,"Korea Republic, Japan",2002,,"['53&rsquor;|1:1|Fernando Morientes', '69&rsquor;|2:1|Fernando Morientes']",,,Carles Puyol (OG) · 10,Fernando Hierro (P) · 83,,,,,,,,,,,,['9&rsquor;|0:0|Rubén Baraja'],"['44&rsquor;|0:1|Francisco Arce', '60&rsquor;|1:1|Diego Gavilán', '80&rsquor;|2:1|Roque Santa Cruz']","['46&rsquor;|0:1|Iván Helguera|for Luis Enrique', '46&rsquor;|0:1|Fernando Morientes|for Diego Tristán', '85&rsquor;|3:1|Xavi|for Juan Carlos Valerón']","['63&rsquor;|1:1|Jorge Luis Campos|for José Cardozo', '78&rsquor;|2:1|Estanislao Struway|for Denis Caniza']"
Argentina,England,0,1,35927,"Sapporo Dome, Sapporo",Group stage,07-06-2002,0–1,"Korea Republic, Japan",2002,,,,,,,David Beckham (P) · 44,,,,,,,,,,,['13&rsquor;|0:0|Gabriel Batistuta'],"['29&rsquor;|0:0|Ashley Cole', '50&rsquor;|0:1|Emile Heskey']","['46&rsquor;|0:1|Pablo Aimar|for Juan Sebastián Verón', '60&rsquor;|0:1|Hernán Crespo|for Gabriel Batistuta', '64&rsquor;|0:1|Claudio López|for Kily González']","['19&rsquor;|0:0|Trevor Sinclair|for Owen Hargreaves', '54&rsquor;|0:1|Teddy Sheringham|for Emile Heskey', '80&rsquor;|0:1|Wayne Bridge|for Michael Owen']"
Denmark,Senegal,1,1,43500,"Daegu Main Stadium, Daegu",Group stage,06-06-2002,1–1,"Korea Republic, Japan",2002,Salif Diao · 52,,['52&rsquor;|1:1|Salif Diao'],,,Jon Dahl Tomasson (P) · 16,,,,,,,,,,,Salif Diao · 80,"['7&rsquor;|0:0|Ebbe Sand', '20&rsquor;|1:0|Jon Dahl Tomasson', '82&rsquor;|1:1|Thomas Helveg', '84&rsquor;|1:1|Christian Poulsen']","['10&rsquor;|0:0|Khalilou Fadiga', '62&rsquor;|1:1|Salif Diao']","['50&rsquor;|1:0|Martin Jørgensen|for Jesper Grønkjær', '62&rsquor;|1:1|Christian Poulsen|for Thomas Gravesen', '89&rsquor;|1:1|Peter Løvenkrands|for Dennis Rommedahl']","['46&rsquor;|1:0|Henri Camara|for Pape Sarr', ""46&rsquor;|1:0|Souleymane Camara|for Moussa N'Diaye"", '83&rsquor;|1:1|Habib Beye|for Souleymane Camara']"
Cameroon,Saudi Arabia,1,0,52328,"Saitama Stadium 2002, Saitama",Group stage,06-06-2002,1–0,"Korea Republic, Japan",2002,,"[""66&rsquor;|1:0|Samuel Eto'o""]",,,,,,,,,,,,,,,,['10&rsquor;|0:0|Pierre Womé'],['59&rsquor;|0:0|Al Hasan Al-Yami'],"[""46&rsquor;|0:0|Salomon Olembé|for Daniel N'Gom Kome"", ""74&rsquor;|1:0|Pius Ndiefi|for Patrick M'Boma"", '84&rsquor;|1:0|Pierre Njanka|for Pierre Womé']","['35&rsquor;|0:0|Al Hasan Al-Yami|for Obeid Al-Dosari', '72&rsquor;|1:0|Abdullah Jumaan Al-Dosari|for Abdullah Zubromawi', '86&rsquor;|1:0|Mohammed Noor|for Abdulaziz Khathran']"
